c F
11.61152655 -0.1964609652
12.18096349 -0.196515187
12.78075737 -0.1965561718
13.41252652 -0.1965854984
14.07797557 -0.1966045923
14.7789 -0.1966147394
15.51719103 -0.196617097
16.29484068 -0.1966127057
17.11394718 -0.1966024989
17.97672061 -0.1965873131
18.88548888 -0.196567896
19.84270399 -0.1965449148
20.85094866 -0.1965189637
21.91294331 -0.196490571
23.03155336 -0.1964602046
24.20979701 -0.1964282788
25.45085336 -0.1963951585
26.75807097 -0.196361165
28.13497694 -0.1963265795
29.58528638 -0.196291648
31.11291245 -0.196256584
32.72197696 -0.1962215727
34.41682141 -0.1961867733
36.20201877 -0.1961523223
38.0823858 -0.1961183356
40.06299604 -0.196084911
42.14919349 -0.1960521298
44.34660705 -0.1960200593
46.66116571 -0.1959887539
49.09911452 -0.1959582567
51.66703146 -0.1959286011
54.37184521 -0.1958998118
57.22085378 -0.1958719057
60.22174426 -0.1958448932
63.38261356 -0.1958187791
66.7119902 -0.1957935631
70.2188574 -0.1957692405
73.91267724 -0.1957458031
77.80341627 -0.1957232394
81.90157233 -0.1957015356
86.21820291 -0.1956806754
90.76495499 -0.1956606409
95.55409646 -0.1956414125
100.5985492 -0.1956229696
105.9119239 -0.1956052908
111.508557 -0.1955883538
117.4035492 -0.1955721361
123.612806 -0.1955566145
130.153081 -0.1955417661
137.042021 -0.1955275676
144.2982134 -0.1955139963
151.9412367 -0.1955010291
159.991713 -0.1954886437
168.4713638 -0.1954768179
177.4030685 -0.1954655299
186.8109264 -0.1954547585
196.7203214 -0.1954444828
207.1579906 -0.1954346826
218.1520966 -0.1954253382
229.7323033 -0.1954164305
241.929856 -0.195407941
254.7776657 -0.1953998516
268.3103978 -0.1953921451
282.5645659 -0.1953848045
297.57863 -0.1953778139
313.3931006 -0.1953711576
330.0506477 -0.1953648205
347.596216 -0.1953587883
366.0771464 -0.1953530472
385.5433034 -0.1953475836
406.0472099 -0.195342385
427.6441887 -0.195337439
450.3925122 -0.1953327338
474.3535589 -0.1953282583
499.5919797 -0.1953240016
526.1758719 -0.1953199533
554.1769632 -0.1953161038
583.6708053 -0.1953124434
614.7369771 -0.1953089632
647.4593004 -0.1953056545
681.9260654 -0.1953025092
718.2302689 -0.1952995194
756.4698657 -0.1952966775
796.7480325 -0.1952939764
839.1734462 -0.1952914093
883.8605777 -0.1952889697
930.93 -0.1952866513
980.5087142 -0.1952844483
1032.730492 -0.1952823549
1087.736235 -0.1952803659
1145.67436 -0.1952784761
1206.701192 -0.1952766806
1270.981391 -0.1952749748
1338.688396 -0.1952733542
1410.004892 -0.1952718148
1485.123302 -0.1952703523
1564.246308 -0.1952689631
1647.587397 -0.1952676435
1735.371436 -0.19526639
1827.835281 -0.1952651994
1925.228415 -0.1952640686
2027.813621 -0.1952629945
2135.86769 -0.1952619743
2249.682169 -0.1952610054
2369.564148 -0.1952600852
2495.83709 -0.1952592113
2628.841698 -0.1952583813
2768.936841 -0.1952575931
2916.500518 -0.1952568445
3071.930881 -0.1952561337
3235.647306 -0.1952554586
3408.091526 -0.1952548175
3589.728824 -0.1952542087
3781.049288 -0.1952536306
3982.569131 -0.1952530816
4194.832086 -0.1952525603
4418.410874 -0.1952520653
4653.908747 -0.1952515953
4901.961116 -0.195251149
5163.237268 -0.1952507251
5438.442168 -0.1952503227
5728.318363 -0.1952499406
6033.647987 -0.1952495778
6355.25487 -0.1952492332
6694.006759 -0.1952489061
7050.817662 -0.1952485955
7426.650313 -0.1952483006
7822.51877 -0.1952480206
8239.491151 -0.1952477547
8678.692515 -0.1952475022
9141.307899 -0.1952472625
9628.585516 -0.195247035
10141.84012 -0.1952468189
10682.45655 -0.1952466137
11251.89349 -0.1952464189
11851.68737 -0.195246234
12483.45652 -0.1952460584
13148.90557 -0.1952458916
13849.83 -0.1952457333
14588.12103 -0.195245583
15365.77068 -0.1952454403
16184.87718 -0.1952453049
17047.65061 -0.1952451762
17956.41888 -0.1952450541
18913.63399 -0.1952449382
19921.87866 -0.1952448281
20983.87331 -0.1952447235
22102.48336 -0.1952446243
23280.72701 -0.1952445301
24521.78336 -0.1952444406
25829.00097 -0.1952443557
27205.90694 -0.1952442751
28656.21638 -0.1952441985
30183.84245 -0.1952441259
31792.90696 -0.1952440569
33487.75141 -0.1952439913
35272.94877 -0.1952439291
37153.3158 -0.1952438701
39133.92604 -0.195243814
41220.12349 -0.1952437608
43417.53705 -0.1952437103
45732.09571 -0.1952436623
48170.04452 -0.1952436167
50737.96146 -0.1952435735
53442.77521 -0.1952435324
56291.78378 -0.1952434935
59292.67426 -0.1952434565
62453.54356 -0.1952434213
65782.9202 -0.195243388
69289.7874 -0.1952433563
72983.60724 -0.1952433262
76874.34627 -0.1952432977
80972.50233 -0.1952432706
85289.13291 -0.1952432448
89835.88499 -0.1952432204
94625.02646 -0.1952431972
99669.47918 -0.1952431752
104982.8539 -0.1952431543
110579.487 -0.1952431345
116474.4792 -0.1952431156
122683.736 -0.1952430977
129224.011 -0.1952430808
136112.951 -0.1952430646
143369.1434 -0.1952430493
151012.1667 -0.1952430348
159062.643 -0.195243021
167542.2938 -0.1952430079
176473.9985 -0.1952429955
185881.8564 -0.1952429836
195791.2514 -0.1952429724
206228.9206 -0.1952429618
217223.0266 -0.1952429517
228803.2333 -0.1952429421
241000.786 -0.195242933
253848.5957 -0.1952429243
267381.3278 -0.1952429161
281635.4959 -0.1952429083
296649.56 -0.1952429009
312464.0306 -0.1952428939
329121.5777 -0.1952428873
346667.146 -0.1952428809
365148.0764 -0.1952428749
384614.2334 -0.1952428692
405118.1399 -0.1952428638
426715.1187 -0.1952428586
449463.4422 -0.1952428538
473424.4889 -0.1952428491
498662.9097 -0.1952428447
525246.8019 -0.1952428405
553247.8932 -0.1952428366
582741.7353 -0.1952428328
613807.9071 -0.1952428292
646530.2304 -0.1952428258
680996.9954 -0.1952428226
717301.1989 -0.1952428196
755540.7957 -0.1952428167
795818.9625 -0.1952428139
838244.3762 -0.1952428113
882931.5077 -0.1952428088
930000.93 -0.1952428064
